T(K),partition function,internal energy
2000.0,0.11017512307996907,0.7374931064161564
1677.966101694915,0.0499171275915953,0.6876196329017352
1445.2554744525546,0.023691087295022537,0.6528618154555867
1269.2307692307693,0.011621141813416589,0.6276883203395236
1131.4285714285713,0.005840332387935867,0.6089328806138444
1020.6185567010309,0.0029891781375039985,0.5946580741024016
929.5774647887323,0.0015514852580494256,0.5836139984215449
853.4482758620691,0.0008141021400321557,0.5749592642288373
788.8446215139442,0.0004308637175794498,0.5681075805316119
733.3333333333333,0.0002295967762369757,0.5626387044896863
685.121107266436,0.00012301724544403741,0.5582443232367665
642.8571428571429,6.620324740710457e-05,0.554693844505972
605.5045871559632,3.575541363612413e-05,0.5518120230346177
572.2543352601156,1.9367081897123868e-05,0.5494638870526366
542.4657534246576,1.0515133661951533e-05,0.5475443155296753
515.625,5.720146370223275e-06,0.5459706647647414
491.31513647642674,3.1166667601412142e-06,0.5446774463750633
469.19431279620846,1.700364227577536e-06,0.5436124175589817
448.97959183673464,9.286713766149848e-07,0.5427336640491222
430.4347826086956,5.076554416126172e-07,0.5420073940131254
413.3611691022964,2.7771287830661383e-07,0.5414062497652696
397.5903614457831,1.5201555459989991e-07,0.5409080023548758
382.97872340425533,8.325298973539117e-08,0.5404945331019548
369.4029850746268,4.5613579134320045e-08,0.5401510327809762
356.7567567567567,2.500000863202092e-08,0.5398653676543986
344.9477351916376,1.3706052120907361e-08,0.5396275746209342
333.8954468802698,7.51605079873746e-09,0.5394294571080082
323.5294117647059,4.122442813715919e-09,0.5392642601460484
313.78763866877966,2.2614794658560876e-09,0.5391264080765661
304.61538461538464,1.240771069256482e-09,0.5390112920836545
295.96412556053815,6.808346107085124e-10,0.5389150975550704
287.7906976744186,3.736235016457802e-10,0.5388346634228415
280.05657708628,2.05051227598854e-10,0.5387673672796067
272.7272727272727,1.12543489393319e-10,0.5387110313415138
265.7718120805369,6.177366162462746e-11,0.5386638453224835
259.16230366492147,3.39083946936176e-11,0.5386243030648542
252.87356321839076,1.8613525847523417e-11,0.5385911503873886
246.88279301745632,1.0217973361391223e-11,0.5385633421004316
241.16930572472594,5.609358802051336e-12,0.5385400065277491
235.7142857142857,3.079441994280613e-12,0.5385204161865301
230.50058207217694,1.690594798810653e-12,0.5385039635277543
225.51252847380408,9.28141798135163e-13,0.5384901408412053
220.73578595317724,5.095599307018458e-13,0.5384785235928428
216.15720524017465,2.797572603747539e-13,0.5384687565947329
211.76470588235293,1.5359313319846538e-13,0.5384605425154263
207.54716981132074,8.432685069081018e-14,0.5384536323264034
203.49434737923946,4.629808544361629e-14,0.5384478173517901
199.59677419354836,2.541925197130607e-14,0.5384429226471124
195.84569732937686,1.3956119353312622e-14,0.5384388014808217
192.23300970873785,7.662463431489477e-15,0.5384353307316676
188.75119161105815,4.2070114818763264e-15,0.5384324070473441
185.39325842696627,2.3098313908417233e-15,0.5384299436364343
182.1527138914443,1.2682006048868033e-15,0.5384278675876039
179.0235081374322,6.963002574144917e-16,0.5384261176280853
176.0,3.8230143965993484e-16,0.5384246422484104
173.07692307692307,2.09901705441376e-16,0.5384233981327221
170.2493551160791,1.1524618403164267e-16,0.5384223488441955
167.51269035532997,6.327579462158175e-17,0.5384214637235641
164.86261448792672,3.474153914714178e-17,0.5384207169657864
162.29508196721306,1.9074836951388994e-17,0.5384200868456881
159.80629539951576,1.0473043177453113e-17,0.5384195550682656
157.39268680445153,5.7502296569920984e-18,0.5384191062233684
155.05090054815972,3.157167954927317e-18,0.5384187273278022
152.77777777777774,1.7334461332968623e-18,0.5384184074407017
150.5703422053232,9.517505956779913e-19,0.538418137340332
148.42578710644676,5.225599051715306e-19,0.5384179092524134
146.34146341463412,2.8691226414428044e-19,0.5384177166216857
144.3148688046647,1.575296205261395e-19,0.5384175539197666
142.34363767074046,8.649189519398813e-20,0.5384174164834927
140.4255319148936,4.7488522874668086e-20,0.5384173003788659
138.5584324702589,2.6073657746494212e-20,0.5384172022865229
136.7403314917127,1.4315789489087558e-20,0.5384171194052917
134.96932515337423,7.860111078242435e-21,0.5384170493709666
133.2436069986541,4.315609044393122e-21,0.5384169901878781
131.56146179401995,2.3694935565616758e-21,0.5384169401712309
129.92125984251967,1.3009751218552657e-21,0.5384168978985081
128.32145171743355,7.143029937068069e-22,0.5384168621685035
126.76056338028168,3.921895022689892e-22,0.5384168319667816
125.23719165085389,2.153324454843377e-22,0.5384168064365491
123.75,1.1822872112448972e-22,0.5384167848540866
122.29771463866582,6.491372341283098e-23,0.5384167666080243
120.87912087912089,3.564101451876495e-23,0.5384167511818546
119.49305974652987,1.9568773276740523e-23,0.5384167381391772
118.13842482100239,1.0744275881232174e-23,0.538416727111246
116.81415929203538,5.8991672030019226e-24,0.5384167177864572
115.51925320886815,3.2389501541411493e-24,0.5384167099014747
114.25274091171379,1.7783524054848235e-24,0.5384167032337406
113.01369863013696,9.764081412827849e-25,0.5384166975951464
111.80124223602485,5.360989536912292e-25,0.538416692826692
110.61452513966479,2.943462650529693e-25,0.5384166887939739
109.45273631840796,1.616114404109773e-25,0.5384166853833733
108.31509846827132,8.873310404785295e-26,0.5384166824988377
107.20086626962643,4.8719099076345796e-26,0.5384166800591602
106.10932475884243,2.6749324800674136e-26,0.5384166779956829
105.03978779840848,1.4686773613866574e-26,0.5384166762503543
103.99159663865544,8.063804270885147e-27,0.5384166747740888
102.96411856474259,4.427448882045939e-27,0.5384166735253809
101.956745623069,2.43090022646045e-27,0.5384166724691329
100.9688934217236,1.3346909416320111e-27,0.5384166715756644
100.0,7.3281490203337695e-28,0.5384166708198759
